,v,a,vsp,CO2
1121,24.22222222,-0.077777778,6.207101767,0.6598
1122,24.27777778,-0.011111111,7.863363946,1.3188
1123,24.37222222,0.188888889,12.8053933,0.6214
1124,24.50555556,-0.227777778,2.727671425,2.0658
1125,24.53888889,-0.038888889,7.378416114,3.8256
1126,24.6,0.133333333,11.66117431,3.9888
1127,24.65555556,-0.016666667,8.012866773,3.3296
1128,24.74444444,-0.044444444,7.393095043,2.0676
1129,24.79444444,0.088888889,10.73757344,1.121
1130,24.81111111,0.022222222,9.096491408,0.706
1131,24.84444444,0.088888889,10.78549832,0.2754
1132,24.93888889,0.05,9.89496563,2.2068
1133,24.98333333,0.016666667,9.09860417,3.3006
1134,25.06111111,-0.166666667,4.568329584,1.9206
1135,25.11111111,0.016666667,9.203362433,0.2726
1136,25.14444444,0.016666667,9.229583937,0.3072
1137,25.16666667,-0.066666667,7.151952746,0.144
1138,25.19444444,0.038888889,9.831768538,0.1398
1139,25.21111111,0.05,10.12687012,0.1284
1140,25.24444444,-0.022222222,8.331773549,0.213
1141,25.28888889,0.033333333,9.772407179,0.9128
1142,25.31666667,0.011111111,9.232250833,0.9976
1143,25.35555556,0.022222222,9.545749303,1.2976
1144,25.40555556,-0.111111111,6.201244876,1.9304
1145,25.44444444,-0.094444444,6.654429757,1.343
1146,25.47222222,-0.005555556,8.937144666,2.572
1147,25.48333333,0.077777778,11.07084696,1.0338
1148,25.51111111,0.033333333,9.960647636,0.283
1149,25.52777778,0.022222222,9.691707454,0.8896
1150,25.55,-0.055555556,7.723488897,0.493
1151,25.56666667,-0.061111111,7.593469687,0.173
1152,25.62222222,0.144444444,12.90387074,0.952
1153,25.67222222,-0.038888889,8.246595937,1.7414
1154,25.71666667,-0.083333333,7.138411744,0.2422
1155,25.72222222,0.011111111,9.57190365,0.099
1156,25.77777778,-0.072222222,7.471081361,0.0792
1157,25.79444444,0.233333333,15.36619088,0.3874
1158,25.81111111,-0.05,8.06897192,0.2334
1159,25.83333333,-0.011111111,9.092396979,0.7392
1160,25.88333333,0,9.422081951,1.6266
1161,25.88888889,0.011111111,9.713947933,1.2372
1162,25.91666667,-0.027777778,8.729966562,2.0748
1163,25.97222222,0.005555556,9.641427499,0.5892
1164,26.02777778,-0.044444444,8.386974511,1.0256
1165,26.09444444,-0.088888889,7.282027243,0.6476
1166,26.14444444,0.133333333,13.13071189,0.8684
1167,26.16666667,-0.044444444,8.500448764,1.2718
1168,26.18333333,0.011111111,9.968723633,0.6688
1169,26.2,7.10543E-16,9.691600337,1.5436
1170,26.23888889,-0.077777778,7.685980008,0.3926
1171,26.26666667,0.011111111,10.04258362,0.7234
1172,26.31111111,0.016666667,10.22697501,0.7476
1173,26.36111111,-0.055555556,8.367997135,2.0332
1174,26.4,0.083333333,12.06556455,0.3036
1175,26.45,0.1,12.55512419,0.8548
1176,26.48333333,-0.2,4.642628273,0.3788
1177,26.51666667,0.044444444,11.14651015,1.5318
1178,26.59444444,-0.044444444,8.854500734,2.838
1179,26.66111111,0.038888889,11.1325737,1.8376
1180,26.68333333,-0.027777778,9.375752493,0.3614
1181,26.73333333,0.061111111,11.79298031,0.2808
1182,26.76666667,-0.027777778,9.446374917,1.922
1183,26.82222222,0.027777778,10.98617367,0.6918
1184,26.86111111,-0.077777778,8.185489583,0.7888
1185,26.90555556,-0.066666667,8.522270497,0.5414
1186,27.01111111,0.022222222,11.00870112,0.313
1187,27.06111111,-0.072222222,8.500478643,0.12
1188,27.13888889,-0.011111111,10.2246403,0.1236
1189,27.22222222,-0.011111111,10.30063352,0.1434
1190,16.42222222,-0.033333333,5.530538154,0.4398
